Ord_id;Prod_id;Ship_id;Cust_id;Sales;Discount;Order_Quantity;Product_Base_Margin;Customer_Name;Province;Region;Customer_Segment;Cust_id;Order_Date;Order_Priority;Ord_id;Order_ID;Ship_Mode;Ship_Date;Ship_id;Product_Category;Product_Sub_Category;Prod_id
Ord_1;Prod_1;SHP_1;Cust_1;26154;0,04;6;0,08;MUHAMMED MACINTYRE;NUNAVUT;NUNAVUT;SMALL BUSINESS;Cust_1;2010-10-13;LOW;Ord_1;3;REGULAR AIR;2010-10-20;SHP_1;OFFICE SUPPLIES;STORAGE & ORGANIZATION;Prod_1
Ord_10;Prod_3;SHP_13;Cust_10;8061;0,02;15;0,37;CLAUDIA MINER;NUNAVUT;NUNAVUT;SMALL BUSINESS;Cust_10;2012-08-04;NOT SPECIFIED;Ord_10;933;REGULAR AIR;2012-08-04;SHP_13;OFFICE SUPPLIES;BINDERS AND BINDER ACCESSORIES;Prod_3
Ord_100;Prod_8;SHP_138;Cust_58;12112;0,01;3;0,44;MICHELLE LONSDALE;NORTHWEST TERRITORIES;NORTHWEST TERRITORIES;HOME OFFICE;Cust_58;2012-05-16;HIGH;Ord_100;16039;REGULAR AIR;2012-05-17;SHP_138;TECHNOLOGY;COMPUTER PERIPHERALS;Prod_8
Ord_1000;Prod_6;SHP_1384;Cust_373;33471;0,01;25;0,38;SHAUN WEIEN;MANITOBA;PRARIE;HOME OFFICE;Cust_373;2009-12-11;HIGH;Ord_1000;49283;REGULAR AIR;2009-12-12;SHP_1384;OFFICE SUPPLIES;PAPER;Prod_6
Ord_1001;Prod_5;SHP_1385;Cust_374;198126;0,07;49;0,76;MARY O'ROURKE;MANITOBA;PRARIE;HOME OFFICE;Cust_374;2009-09-27;MEDIUM;Ord_1001;49441;EXPRESS AIR;2009-09-28;SHP_1385;FURNITURE;OFFICE FURNISHINGS;Prod_5
Ord_1002;Prod_15;SHP_1386;Cust_375;175646;0,01;15;0,69;MARK COUSINS;MANITOBA;PRARIE;HOME OFFICE;Cust_375;2011-01-26;LOW;Ord_1002;49601;DELIVERY TRUCK;2011-02-02;SHP_1386;FURNITURE;CHAIRS & CHAIRMATS;Prod_15
Ord_1003;Prod_11;SHP_1388;Cust_376;232035;0;6;0,66;BRAD NORVELL;MANITOBA;PRARIE;CORPORATE;Cust_376;2011-02-13;CRITICAL;Ord_1003;49763;DELIVERY TRUCK;2011-02-13;SHP_1388;FURNITURE;TABLES;Prod_11
Ord_1003;Prod_9;SHP_1387;Cust_376;4904;0,02;8;0,38;BRAD NORVELL;MANITOBA;PRARIE;CORPORATE;Cust_376;2011-02-13;CRITICAL;Ord_1003;49763;REGULAR AIR;2011-02-14;SHP_1387;OFFICE SUPPLIES;ENVELOPES;Prod_9
Ord_1004;Prod_5;SHP_1390;Cust_365;19952;0,08;28;0,42;PARHENA NORRIS;MANITOBA;PRARIE;HOME OFFICE;Cust_365;2012-07-20;NOT SPECIFIED;Ord_1004;49927;REGULAR AIR;2012-07-22;SHP_1390;FURNITURE;OFFICE FURNISHINGS;Prod_5
Ord_1004;Prod_3;SHP_1389;Cust_365;13954;0,01;26;0,37;PARHENA NORRIS;MANITOBA;PRARIE;HOME OFFICE;Cust_365;2012-07-20;NOT SPECIFIED;Ord_1004;49927;REGULAR AIR;2012-07-20;SHP_1389;OFFICE SUPPLIES;BINDERS AND BINDER ACCESSORIES;Prod_3
